Question_Id,Actual_Question,Question_Field,Question_Type,Total_Views,Total_Answers,Total_Correct,Total_Incorrect,Correct_Statement,Incorrect_Statement,Quiz_Date,,Percent_Correct,Percent_Incorrect,Percent_Participate,Real Number,Avarage Views
30,Mars is smaller than Earth.,Astronomy,True or False,136,59,35,24,TRUE,FALSE,21/06/2019,,59.32%,40.68%,43.38%,5,126.545283
31,The double-slit experiment proves that __.,Physics,Fill in,177,57,43,14,Light is a particle and a wave,Light is a form of energy.,28/06/2019,,75.44%,24.56%,32.20%,1,126.545283
32,Voltage can be calculated using __.,Physics,Fill in,165,59,37,22,Current times Resistance,Current divided by Resistance,28/06/2019,,62.71%,37.29%,35.76%,2,126.545283
33,Brass is an alloy.,Chemistry,True or False,151,57,45,12,TRUE,FALSE,28/06/2019,,78.95%,21.05%,37.75%,3,126.545283
34,Light travels faster in the air than in water.,Physics,True or False,149,61,41,20,TRUE,FALSE,28/06/2019,,67.21%,32.79%,40.94%,4,126.545283
35,What process creates the energy of the Sun.,Physics,Question,142,57,26,31,Nuclear Fusion,Nuclear Fission,28/06/2019,,45.61%,54.39%,40.14%,5,126.545283
36,Velocity is a scalar value.,Physics,True or False,171,61,37,24,FALSE,TRUE,05/07/2019,,60.66%,39.34%,35.67%,1,126.545283
37,Why would a powder react faster than a solid chunk?,Chemistry,Question,158,61,47,14,It has a larger surface area,it's less dense,05/07/2019,,77.05%,22.95%,38.61%,2,126.545283
38,Lighting helps to add lighting to the soil.,Geography,True or False,151,59,46,13,TRUE,FALSE,05/07/2019,,77.97%,22.03%,39.07%,3,126.545283
39,The brain is made up of __.,Biology,Fill in,146,58,54,4,Neurons,Perceptrons,05/07/2019,,93.10%,6.90%,39.73%,4,126.545283
40,The closer a planet is to the Sun the shorter its year is.,Astronomy,True or False,142,59,43,16,TRUE,FALSE,05/07/2019,,72.88%,27.12%,41.55%,5,126.545283
41,Radio waves and gamma rays are electromagnetic waves.,Physics,True or False,168,58,43,15,TRUE,FALSE,12/07/2019,,74.14%,25.86%,34.52%,1,126.545283
42,"On Earth, the higher you go __.",Geography,Fill in,153,62,59,3,The cooler it gets,The warmer it gets,12/07/2019,,95.16%,4.84%,40.52%,2,126.545283
43,Earth's gravity has an acceleration of 9.81 m/s^2,Physics,True or False,149,60,49,11,TRUE,FALSE,12/07/2019,,81.67%,18.33%,40.27%,3,126.545283
44,How does the Earth create its magnetic field?,Physics,Question,146,60,46,14,Rotation of its molten core,Magnetic material in its crust,12/07/2019,,76.67%,23.33%,41.10%,4,126.545283
45,Hydroelectric power plants use __.,Physics,Fill in,135,61,53,8,Potential energy to make electric energy,Chemical energy to make electric energy,12/07/2019,,86.89%,13.11%,45.19%,5,126.545283
46,A thermostat can be used for __,Physics,Fill in,183,77,68,9,Temperature control,Pressure control,19/07/2019,,88.31%,11.69%,42.08%,1,126.545283
47,0 degrees Kelvin is less than 0 degrees Celsius.,Chemistry,True or False,177,73,49,24,TRUE,FALSE,19/07/2019,,67.12%,32.88%,41.24%,2,126.545283
48,What does the tissue in our bodies form?,Biology,Question,155,72,44,28,Organs,Cells,19/07/2019,,61.11%,38.89%,46.45%,3,126.545283
49,"Reptiles are cold-blooded, which means __",Biology,Fill in,163,70,51,19,They can't control their body temperature,They can't give birth to live young,19/07/2019,,72.86%,27.14%,42.94%,4,126.545283
50,The brain has more connections than stars in the Universe.,Biology,True or False,156,72,58,14,TRUE,FALSE,19/07/2019,,80.56%,19.44%,46.15%,5,126.545283
51,The decay of radioactive material is measured in __.,Chemistry,Fill in,167,65,48,17,Half-lives,Electromagnetic waves,26/07/2019,,73.85%,26.15%,38.92%,1,126.545283
52,All dogs are descendants of wolves.,Biology,True or False,155,64,33,31,TRUE,FALSE,26/07/2019,,51.56%,48.44%,41.29%,2,126.545283
53,How many atoms does a molecule of water have?,Chemistry,Question,142,69,56,13,Three,Two,26/07/2019,,81.16%,18.84%,48.59%,3,126.545283
54,What is the first step of the scientific method?,General,Question,133,63,17,46,Observation,Hypothesis,26/07/2019,,26.98%,73.02%,47.37%,4,126.545283
55,A carbon atom can form __ covalent bonds at most.,Chemistry,Fill in,131,61,37,24,Four,Six,26/07/2019,,60.66%,39.34%,46.56%,5,126.545283
56,Electromagnets need electricity to function.,Physics,True or False,168,60,30,30,TRUE,FALSE,02/08/2019,,50.00%,50.00%,35.71%,1,126.545283
57,What element is added to iron to make steel?,Chemistry,Question,152,60,51,9,Carbon,Silicon,02/08/2019,,85.00%,15.00%,39.47%,2,126.545283
58,The liver generates the most heat in our bodies.,Biology,True or False,138,60,32,28,TRUE,FALSE,02/08/2019,,53.33%,46.67%,43.48%,3,126.545283
59,__ is the largest planet in our solar system.,Astronomy,Fill in,133,59,44,15,Jupiter,Saturn,02/08/2019,,74.58%,25.42%,44.36%,4,126.545283
60,A galvanometer can be used to measure __.,Physics,Fill in,129,57,30,27,Current,Voltage,02/08/2019,,52.63%,47.37%,44.19%,5,126.545283
61,The human sleep cycle has multiple phases.,Biology,True or False,155,66,65,1,TRUE,FALSE,09/08/2019,,98.48%,1.52%,42.58%,1,126.545283
62,What is a piezoelectric material?,Physics,Question,146,62,33,29,It produces a current when squeezed,It produces a current when exposed to light,09/08/2019,,53.23%,46.77%,42.47%,2,126.545283
63,Spiders and ticks are in the same animal class.,Biology,True or False,141,64,36,28,TRUE,FALSE,09/08/2019,,56.25%,43.75%,45.39%,3,126.545283
64,What are atoms made of?,Physics,Question,134,62,31,31,Quarks,"Nothing, they are the smallest thing",09/08/2019,,50.00%,50.00%,46.27%,4,126.545283
65,Hawking radiation is related to the study of __.,Astronomy,Fill in,136,61,49,12,Black holes,Radioactive waste,09/08/2019,,80.33%,19.67%,44.85%,5,126.545283
66,An anemometer is used to measure what?,Geography,Question,166,58,33,25,Wind speed,Air pressure,16/08/2019,,56.90%,43.10%,34.94%,1,126.545283
67,It's correct to call the Moon a satellite.,Astronomy,True or False,153,60,37,23,TRUE,FALSE,16/08/2019,,61.67%,38.33%,39.22%,2,126.545283
68,Why is a desert so cold at night?,Geography,Question,145,60,30,30,The sand cannot hold heat,There are no clouds to trap heat,16/08/2019,,50.00%,50.00%,41.38%,3,126.545283
69,The equatorial climate has 2 seasons.,Geography,True or False,138,60,41,19,TRUE,FALSE,16/08/2019,,68.33%,31.67%,43.48%,4,126.545283
70,The transition from a solid to a gas is known as __.,Chemistry,Fill in,152,58,43,15,Sublimation,Evaporation,16/08/2019,,74.14%,25.86%,38.16%,5,126.545283
71,The Richter scale is used to measure what?,Geography,Question,170,63,57,6,The magnitude of an earthquake,The intensity of a hurricane,23/08/2019,,90.48%,9.52%,37.06%,1,126.545283
72,Magma and lava are the same things.,Geography,True or False,162,65,50,15,FALSE,TRUE,23/08/2019,,76.92%,23.08%,40.12%,2,126.545283
73,Vaccines are designed to __ diseases.,Biology,Fill in,155,67,65,2,Prevent,Cure,23/08/2019,,97.01%,2.99%,43.23%,3,126.545283
74,75% of the Earth’s surface is covered by water?,Geography,True or False,152,68,66,2,TRUE,FALSE,23/08/2019,,97.06%,2.94%,44.74%,4,126.545283
75,__ planets in our solar system have rings.,Astronomy,Fill in,152,67,56,11,Four,Two,23/08/2019,,83.58%,16.42%,44.08%,5,126.545283
76,What is a meniscus?,Chemistry,Question,168,70,55,15,The curved surface of a liquid,A membrane that traps duct which enters the nose.,30/08/2019,,78.57%,21.43%,41.67%,1,126.545283
77,What is a nebula?,Astronomy,Question,160,70,32,38,A cloud of dust in space,A group of stars,30/08/2019,,45.71%,54.29%,43.75%,2,126.545283
78,Bees eat their honey.,General,True or False,152,68,24,44,TRUE,FALSE,30/08/2019,,35.29%,64.71%,44.74%,3,126.545283
79,Muscles can contract and expand.,Biology,True or False,151,69,8,61,FALSE,TRUE,30/08/2019,,11.59%,88.41%,45.70%,4,126.545283
80,__ was built to study subatomic particles.,Physics,Fill in,156,64,31,33,The large hadron collider,The electron microscope,30/08/2019,,48.44%,51.56%,41.03%,5,126.545283
81,A lunar eclipse occurs when __,Astronomy,Fill in,160,57,19,38,the Earth is in a straight line between the Moon and the Sun,the Moon is in a straight line between the Earth and the Sun,06/09/2019,,33.33%,66.67%,35.63%,1,126.545283
82,Dehydration is the process of __,Chemistry,Fill in,148,56,41,15,Removing moisture,Removing hydrogen atoms,06/09/2019,,73.21%,26.79%,37.84%,2,126.545283
83,Catalytic converters contain which precious metal?,Chemistry,Question,145,52,35,17,Platinum,Silver,06/09/2019,,67.31%,32.69%,35.86%,3,126.545283
84,Hertz is a unit that measures frequency.,General,True or False,139,49,47,2,TRUE,FALSE,06/09/2019,,95.92%,4.08%,35.25%,4,126.545283
85,Electrons are considered to have a positive charge.,Chemistry,True or False,145,54,43,11,FALSE,TRUE,06/09/2019,,79.63%,20.37%,37.24%,5,126.545283
86,The Hypothalamus helps to regulate body temperature.,Biology,True or False,186,72,61,11,TRUE,FALSE,13/09/2019,,84.72%,15.28%,38.71%,1,126.545283
87,Which specialized protein is found in hair and nails?,Biology,Question,170,74,66,8,Keratin,Myosin,13/09/2019,,89.19%,10.81%,43.53%,2,126.545283
88,The International Space Station travels at 7.66 km/s.,General,True or False,163,71,32,39,TRUE,FALSE,13/09/2019,,45.07%,54.93%,43.56%,3,126.545283
89,Acetone is an ingredient in paint thinner and __,Chemistry,Fill in,160,74,71,3,Nail polish remover,Drain cleaner,13/09/2019,,95.95%,4.05%,46.25%,4,126.545283
90,Which byproduct is produced by hydrogen fuel cells?,Chemistry,Question,151,73,43,30,Water,Methane,13/09/2019,,58.90%,41.10%,48.34%,5,126.545283
91,Computers use the __ number system for calculations,Comouter Science,Fill in,193,80,71,9,Binary,Decimal,20/09/2019,,88.75%,11.25%,41.45%,1,126.545283
92,What happens when we split a permanent magnet into 2?,Physics,Question,170,77,60,17,We now have to functioning magnets,Our only magnet is broken beyond repair,20/09/2019,,77.92%,22.08%,45.29%,2,126.545283
93,DNA is found in a cell's __,Biology,Fill in,161,78,62,16,Nucleus,Membrane,20/09/2019,,79.49%,20.51%,48.45%,3,126.545283
94,Which of these is nicknamed the feel-good hormone?,Biology,Question,154,77,60,17,Oxytocin,Adrenaline,20/09/2019,,77.92%,22.08%,50.00%,4,126.545283
95,Helium-3 on the Moon's surface could create energy.,Chemistry,True or False,156,74,57,17,TRUE,FALSE,20/09/2019,,77.03%,22.97%,47.44%,5,126.545283
96,What are capillaries?,Biology,Question,178,60,43,17,Fine branching blood vessels,Musular walled tubes that transport blood,27/09/2019,,71.67%,28.33%,33.71%,1,126.545283
97,The term Nanobot refers to __,General,Fill in,159,62,57,5,Tiny robots,Robots with nine legs,27/09/2019,,91.94%,8.06%,38.99%,2,126.545283
98,Geothermal energy is not a renewable energy source.,Geography,True or False,153,60,49,11,FALSE,TRUE,27/09/2019,,81.67%,18.33%,39.22%,3,126.545283
99,Sunlight can not penetrate the ocean at a depth of one kilometer.,General,True or False,147,61,34,27,TRUE,FALSE,27/09/2019,,55.74%,44.26%,41.50%,4,126.545283
100,"The ""C"" in E=MC^2 represents __",Physics,Fill in,153,60,50,10,The speed of light,Acceleration of gravity,27/09/2019,,83.33%,16.67%,39.22%,5,126.545283
101,What are enzymes made of?,Biology,Question,175,71,65,6,Amino Acids,Stem cells,04/10/2019,,91.55%,8.45%,40.57%,1,126.545283
102,An electric motor has a rotor and __,Physics,Fill in,162,70,53,17,Stator,Flywheel,04/10/2019,,75.71%,24.29%,43.21%,2,126.545283
103,Transition metals have a block on the periodic table.,Chemistry,True or False,153,69,50,19,TRUE,FALSE,04/10/2019,,72.46%,27.54%,45.10%,3,126.545283
104,Wireless charging is possible with electromagnetic force.,Physics,True or False,146,66,54,12,TRUE,FALSE,04/10/2019,,81.82%,18.18%,45.21%,4,126.545283
105,There are less than 300 different species of ants.,Biology,True or False,142,68,53,15,FALSE,TRUE,04/10/2019,,77.94%,22.06%,47.89%,5,126.545283
106,Solar sails use sunlight to propel space ships.,Physics,True or False,169,61,42,19,TRUE,FALSE,11/10/2019,,68.85%,31.15%,36.09%,1,126.545283
107,How long is a trip to the Moon?,Astronomy,Question,160,66,29,37,Three days,Seven days,11/10/2019,,43.94%,56.06%,41.25%,2,126.545283
108,A flower's pollen is produced by its __,Biology,Fill in,152,63,36,27,Stamen,Stigma,11/10/2019,,57.14%,42.86%,41.45%,3,126.545283
109,"In chemistry, the amount of a substance is measured in __",Chemistry,Fill in,141,64,56,8,Moles,grams,11/10/2019,,87.50%,12.50%,45.39%,4,126.545283
110,Only 5% of the universe is observable matter.,Astrophysics,True or False,137,63,46,17,TRUE,FALSE,11/10/2019,,73.02%,26.98%,45.99%,5,126.545283
111,"Hurricanes, Cyclones, and Typhoons are the same thing.",Geography,True or False,147,70,20,50,TRUE,FALSE,18/10/2019,,28.57%,71.43%,47.62%,1,126.545283
112,Centripetal force points __,Physics,Fill in,140,67,44,23,Towards the center of rotation,Away from the center of rotation,18/10/2019,,65.67%,34.33%,47.86%,2,126.545283
113,Both plant and animal cells have a cell wall.,Biology,True or False,133,67,30,37,FALSE,TRUE,18/10/2019,,44.78%,55.22%,50.38%,3,126.545283
114,Which planet has the tallest mountain in the solar system?,Astronomy,Question,125,67,34,33,Mars,Saturn,18/10/2019,,50.75%,49.25%,53.60%,4,126.545283
115,Distillation takes advantage of which physical property?,Chemistry,Question,123,67,57,10,The boiling point of a substance,The melting point of a substance,18/10/2019,,85.07%,14.93%,54.47%,5,126.545283
116,What is EEG used for?,Neurology,Question,141,42,35,7,Recording signals from the brain,Transmitting signals to the brain,25/10/2019,,83.33%,16.67%,29.79%,1,126.545283
117,The Universe's expansion can be used to calculate its age.,Astrophysics,True or False,128,41,37,4,TRUE,FALSE,25/10/2019,,90.24%,9.76%,32.03%,2,126.545283
118,Induction motors require __ to function.,Physics,Fill in,116,41,31,10,Alternating current,Direct current,25/10/2019,,75.61%,24.39%,35.34%,3,126.545283
119,Snails have both male and female reproductive organs.,Biology,True or False,116,43,34,9,TRUE,FALSE,25/10/2019,,79.07%,20.93%,37.07%,4,126.545283
120,The nearest star after the Sun is called __,Astronomy,Fill in,115,41,34,7,Alpha Centauri,Betelgeuse,25/10/2019,,82.93%,17.07%,35.65%,5,126.545283
121,Apple seeds release cyanide when chewed.,Chemistry,True or False,165,84,59,25,TRUE,FALSE,01/11/2019,,70.24%,29.76%,50.91%,1,126.545283
122,__ undergo metamorphosis.,Biology,Fill in,149,79,64,15,Insects,Mammals,01/11/2019,,81.01%,18.99%,53.02%,2,126.545283
123,Most commercial solar panels are less than 20% efficient.,Physics,True or False,139,76,49,27,TRUE,FALSE,01/11/2019,,64.47%,35.53%,54.68%,3,126.545283
124,Latex is a milky liquid from plants used to make __,General,Fill in,130,78,73,5,Natural rubber,Shampoo,01/11/2019,,93.59%,6.41%,60.00%,4,126.545283
125,"Which cannabinoid in cannabis induces the ""High"" feeling?",Biology,Question,128,79,63,16,Tetrahydrocannabinol THC,Cannabidiol CBD,01/11/2019,,79.75%,20.25%,61.72%,5,126.545283
126,Alzheimer's disease affects your __,Biology,Fill in,156,83,79,4,Brain,Heart,08/11/2019,,95.18%,4.82%,53.21%,1,126.545283
127,Iron is the most abundant element in the Earth's crust,Geography,True or False,152,82,28,54,FALSE,TRUE,08/11/2019,,34.15%,65.85%,53.95%,2,126.545283
128,What is considered to be the cosmic speed limit?,Physics,Question,147,80,68,12,Speed of light,Speed of sound,08/11/2019,,85.00%,15.00%,54.42%,3,126.545283
129,Which element is used in rechargeable batteries?,Chemistry,Question,136,83,73,10,Lithium,Carbon,08/11/2019,,87.95%,12.05%,61.03%,4,126.545283
130,Schrodinger's Cat is a thought experiment to __,Physics,Fill in,133,81,53,28,Explain quantum mechanics,Explain astrophysics,08/11/2019,,65.43%,34.57%,60.90%,5,126.545283
131,DNA is made up of __ chemical units.,Biology,Fill in,169,78,46,32,Four,Two,15/11/2019,,58.97%,41.03%,46.15%,1,126.545283
132,Which is the main element used in nuclear bombs?,Physics,Question,160,81,70,11,Plutonium,Potassium,15/11/2019,,86.42%,13.58%,50.63%,2,126.545283
133,Exfoliation is a form of chemical weathering.,Geography,True or False,151,80,24,56,FALSE,TRUE,15/11/2019,,30.00%,70.00%,52.98%,3,126.545283
134,"Which chemical produces a ""rotten egg"" smell?",Chemistry,Question,144,80,67,13,Hydrogen sulphide,Hydrogen peroxide,15/11/2019,,83.75%,16.25%,55.56%,4,126.545283
135,Different colours of light have different energy levels.,Physics,True or False,137,79,73,6,TRUE,FALSE,15/11/2019,,92.41%,7.59%,57.66%,5,126.545283
136,True north and magnetic north are different.,Geography,True or False,166,76,49,27,TRUE,FALSE,22/11/2019,,64.47%,35.53%,45.78%,1,126.545283
137,__ gives plants their green colour.,Biology,Fill in,151,81,72,9,Chlorophyll,Chloroplasts,22/11/2019,,88.89%,11.11%,53.64%,2,126.545283
138,Which blood type can donate to every other type?,Biology,Question,144,82,66,16,O-,AB+,22/11/2019,,80.49%,19.51%,56.94%,3,126.545283
139,__ is associated with our sense of smell.,Biology,Fill in,137,77,53,24,Olfactory receptors,Nociceptors,22/11/2019,,68.83%,31.17%,56.20%,4,126.545283
140,All metals can be turned into permanent magnets.,Physics,True or False,137,79,63,16,FALSE,TRUE,22/11/2019,,79.75%,20.25%,57.66%,5,126.545283
141,Human ears can hear sounds between 20Hz and 20kHz.,Biology,True or False,161,76,53,23,TRUE,FALSE,06/12/2019,,69.74%,30.26%,47.20%,1,126.545283
142,Which noble gas is used in incandescent light bulbs?,Chemistry,Question,153,78,39,39,Argon,Neon,06/12/2019,,50.00%,50.00%,50.98%,2,126.545283
143,What forms when a river and the ocean meet?,Geography,Question,146,79,53,26,A delta,A lagoon,06/12/2019,,67.09%,32.91%,54.11%,3,126.545283
144,Birds have hollow bones.,Biology,True or False,129,73,49,24,TRUE,FALSE,06/12/2019,,67.12%,32.88%,56.59%,4,126.545283
145,The magnets of an MRI machine are cooled using __,Physics,Fill in,124,66,16,50,Liquid Helium,Liquid Hydrogen,06/12/2019,,24.24%,75.76%,53.23%,5,126.545283
146,Enzymes are sometimes used in laundry detergents.,Biology,True or False,152,69,61,8,TRUE,FALSE,13/12/2019,,88.41%,11.59%,45.39%,1,126.545283
147,The ozone layer __,Geography,Fill in,138,70,59,11,Protects us from ultraviolet radiation,Prevents our atmosphere from dissipating,13/12/2019,,84.29%,15.71%,50.72%,2,126.545283
148,Adults have more individual bones than babies,Biology,True or False,136,70,45,25,FALSE,TRUE,13/12/2019,,64.29%,35.71%,51.47%,3,126.545283
149,We can only reach terminal velocity __,Physics,Fill in,130,66,19,47,When falling in a fluid,When falling in a vaccume,13/12/2019,,28.79%,71.21%,50.77%,4,126.545283
150,Which instrument is used to measure radiation?,Physics,Question,127,68,46,22,Geiger counter,Venier caliper,13/12/2019,,67.65%,32.35%,53.54%,5,126.545283
151,Which is the hottest planet in our solar system?,Astronomy,Question,204,86,35,51,Venus,Mercury,14/02/2020,,40.70%,59.30%,42.16%,1,126.545283
152,What kind of lens can focus light?,Physics,Question,187,77,33,44,Convex lens,Concave lens,14/02/2020,,42.86%,57.14%,41.18%,2,126.545283
153,A Virus can be viewed under a light microscope.,Biology,True or False,176,75,43,32,FALSE,TRUE,14/02/2020,,57.33%,42.67%,42.61%,3,126.545283
154,Desalination is the process of __,Chemistry,Fill in ,169,71,58,13,Removing salts and minerals from substances like water.,Filtering visible particles out of fresh water.,14/02/2020,,81.69%,18.31%,42.01%,4,126.545283
155,__ join points on a map that are at equal height.,Geography,Fill in ,170,69,46,23,Contour lines,Lines of latitude,14/02/2020,,66.67%,33.33%,40.59%,5,126.545283
156,What is a topographic map?,Geography,Question,202,74,43,31,A map that shows man made structures.,A map that shows bodies of water. ,21/02/2020,,58.11%,41.89%,36.63%,1,126.545283
157,Quantum superposition is when __,Physics,Fill in ,185,71,55,16,A particle is in multiple quantum states at once.,A particle is moving faster than light.,21/02/2020,,77.46%,22.54%,38.38%,2,126.545283
158,Stem cells can develop into many different cell types.,Biology,True or False,176,77,66,11,TRUE,FALSE,21/02/2020,,85.71%,14.29%,43.75%,3,126.545283
159,Current is the rate of flow of __,Physics,Fill in ,159,76,56,20,Charge,Voltage,21/02/2020,,73.68%,26.32%,47.80%,4,126.545283
160,What is at the center of the Milky Way galaxy?,Astronomy,Question,153,76,62,14,A massive black hole.,The biggest star in the galaxy,21/02/2020,,81.58%,18.42%,49.67%,5,126.545283
161,A vertebrate is an animal __,Biology,Fill in ,182,82,77,5,with a spinal coloum,that walks on 2 legs,28/02/2020,,93.90%,6.10%,45.05%,1,126.545283
162,There are only 4 fundamental forces in nature.,Physics,True or False,178,80,54,26,TRUE,FALSE,28/02/2020,,67.50%,32.50%,44.94%,2,126.545283
163,Chlorofluorocarbons (CFCs) were banned because __,Chemistry,Fill in ,173,76,60,16,they were linked to Ozone layer depletion,they were linked to development of cancer,28/02/2020,,78.95%,21.05%,43.93%,3,126.545283
164,What is the basic unit in a quantum computer?,Computer Science,Question,162,79,36,43,Qbit,bit,28/02/2020,,45.57%,54.43%,48.77%,4,126.545283
165,The prefrontal cortex is not used for decision making,Biology,True or False,154,77,45,32,FALSE,TRUE,28/02/2020,,58.44%,41.56%,50.00%,5,126.545283
166,Moore's Law predicts an increase in __,Computer Science,Fill in ,159,66,48,18,computing power,screen resolution,06/03/2020,,72.73%,27.27%,41.51%,1,126.545283
167,"The ""O' in OLED stands for what?",General,Question,146,67,13,54,Organic,Optimized,06/03/2020,,19.40%,80.60%,45.89%,2,126.545283
168,Some Squids can change colour at will.,Biology,True or False,138,64,58,6,TRUE,FALSE,06/03/2020,,90.63%,9.38%,46.38%,3,126.545283
169,A virus can mutate by getting RNA from another virus.,Biology,True or False,134,65,57,8,TRUE,FALSE,06/03/2020,,87.69%,12.31%,48.51%,4,126.545283
170,Where does the signal for a reflex action originate?,Biology,Question,133,68,42,26,The spine,The brain,06/03/2020,,61.76%,38.24%,51.13%,5,126.545283
171,The midsection of an insect is called the __,Biology,Fill in ,162,73,50,23,thorax,abdomen,13/03/2020,,68.49%,31.51%,45.06%,1,126.545283
172,Species is the most specific classification of an animal.,Biology,True or False,156,73,40,33,TRUE,FALSE,13/03/2020,,54.79%,45.21%,46.79%,2,126.545283
173,What material is only one atom layer thick?,Chemistry,Question,148,69,45,24,Graphene,Graphite,13/03/2020,,65.22%,34.78%,46.62%,3,126.545283
174,Our atmosphere is a fluid.,Physics,True or False,141,71,33,38,TRUE,FALSE,13/03/2020,,46.48%,53.52%,50.35%,4,126.545283
175,What is the most abundant element in the universe?,Astronomy,Question,140,67,30,37,Hydrogen,Carbon,13/03/2020,,44.78%,55.22%,47.86%,5,126.545283
176,Gravity is directly proportional to mass.,Physics,True or False,146,72,35,37,TRUE,FALSE,20/03/2020,,48.61%,51.39%,49.32%,1,126.545283
177,The lymphatic system is a part of __,Biology,Fill in,139,69,51,18,the Immune system.,the respitory system,20/03/2020,,73.91%,26.09%,49.64%,2,126.545283
178,Covid-19 is just one disease caused by the Coronavirus,Biology,True or False,136,69,43,26,TRUE,FALSE,20/03/2020,,62.32%,37.68%,50.74%,3,126.545283
179,Interstellar travel means traveling __,Astronomy,Fill in,130,70,45,25,between stars,between planets,20/03/2020,,64.29%,35.71%,53.85%,4,126.545283
